,knockout,essential,call,growth,true_label,score
219,100773005,1,1,0.03236891404823237,1,0.03236891404823237
220,100756663,1,1,0.03236891404823238,1,0.03236891404823238
221,100756666,1,1,0.03236891404823238,1,0.03236891404823238
222,100764868,1,1,0.03236891404823238,1,0.03236891404823238
223,100764885,1,1,0.032368914048232375,1,0.032368914048232375
224,100773080,1,1,0.02497615800718215,1,0.02497615800718215
225,100756717,1,1,0.03236891404823237,1,0.03236891404823237
226,100764911,1,1,0.03236891404823238,1,0.03236891404823238
227,100773126,1,1,0.03236891404823238,1,0.03236891404823238
228,100756754,1,1,0.03236891404823238,1,0.03236891404823238
229,100764967,1,1,0.03236891404823239,1,0.03236891404823239
230,100756785,1,1,0.032368914048232375,1,0.032368914048232375
231,100773257,1,1,0.03236891404823239,1,0.03236891404823239
232,100765077,1,1,0.03236891404823238,1,0.03236891404823238
233,100765093,1,1,0.03236891404823238,1,0.03236891404823238
234,100765106,1,1,0.03236891404823237,1,0.03236891404823237
235,100765113,1,1,0.03236891404823238,1,0.03236891404823238
236,100765129,1,1,0.03236891404823238,1,0.03236891404823238
237,100756951,1,1,0.032368914048232375,1,0.032368914048232375
238,100773344,1,1,0.03236891404823238,1,0.03236891404823238
239,100765162,1,1,0.03236891404823238,1,0.03236891404823238
240,100765169,1,1,0.03236891404823238,1,0.03236891404823238
241,100765177,1,1,0.032368914048232375,1,0.032368914048232375
242,100757022,1,1,0.027391526129873105,1,0.027391526129873105
243,100773414,1,1,0.03236891404823238,1,0.03236891404823238
244,100765223,1,1,0.032368914048232375,1,0.032368914048232375
245,100773449,1,1,0.032368914048232375,1,0.032368914048232375
246,100757071,1,1,0.03236891404823239,1,0.03236891404823239
247,100757074,1,1,0.03236891404823238,1,0.03236891404823238
248,100757101,1,1,0.02739152612987307,1,0.02739152612987307
249,100765294,1,1,0.03236891404823238,1,0.03236891404823238
250,100757171,1,1,0.032368914048232375,1,0.032368914048232375
251,100773592,1,1,0.03236891404823238,1,0.03236891404823238
252,100765414,1,1,0.03236891404823238,1,0.03236891404823238
253,100773620,1,1,0.03236891404823239,1,0.03236891404823239
254,100757239,1,1,0.03236891404823239,1,0.03236891404823239
255,100757362,1,1,0.03236891404823238,1,0.03236891404823238
256,100757379,1,1,0.03236891404823238,1,0.03236891404823238
257,100765580,1,1,0.03236891404823238,1,0.03236891404823238
258,100773774,1,1,0.03236891404823238,1,0.03236891404823238
259,100757431,1,1,0.03236891404823238,1,0.03236891404823238
260,100757463,1,1,0.03236891404823238,1,0.03236891404823238
261,100773890,1,1,0.027391526129872938,1,0.027391526129872938
262,100773912,1,1,0.03236891404823238,1,0.03236891404823238
263,100757548,1,1,0.03236891404823238,1,0.03236891404823238
264,100773968,1,1,0.03236891404823239,1,0.03236891404823239
265,100765792,1,1,0.03236891404823238,1,0.03236891404823238
266,100773997,1,1,0.032368914048232375,1,0.032368914048232375
267,100757617,1,1,0.03236891404823238,1,0.03236891404823238
268,100757642,1,1,0.03236891404823237,1,0.03236891404823237
269,100757658,1,1,0.03236891404823238,1,0.03236891404823238
270,100774047,1,1,0.03236891404823238,1,0.03236891404823238
271,100757688,1,1,0.03236891404823237,1,0.03236891404823237
272,100765891,1,1,0.03236891404823237,1,0.03236891404823237
273,100774089,1,1,0.03236891404823238,1,0.03236891404823238
274,100757729,1,1,0.032368914048232375,1,0.032368914048232375
275,100757800,1,1,0.03236891404823238,1,0.03236891404823238
276,100757803,1,1,0.03236891404823238,1,0.03236891404823238
277,100766001,1,1,0.03236891404823238,1,0.03236891404823238
278,100774195,1,1,0.03236891404823238,1,0.03236891404823238
279,100766003,1,1,0.03236891404823242,1,0.03236891404823242
280,100766024,1,1,0.03236891404823238,1,0.03236891404823238
281,100766043,1,1,0.03236891404823238,1,0.03236891404823238
282,100757887,1,1,0.03236891404823238,1,0.03236891404823238
283,100774283,1,1,0.03236891404823238,1,0.03236891404823238
284,100774295,1,1,0.03236891404823238,1,0.03236891404823238
285,100774298,1,1,0.032368914048232375,1,0.032368914048232375
286,100766108,1,1,0.032368914048232236,1,0.032368914048232236
287,100774306,1,1,0.03236891404823237,1,0.03236891404823237
288,100757944,1,1,0.03236891404823238,1,0.03236891404823238
289,100774333,1,1,0.03236891404823238,1,0.03236891404823238
290,100766177,1,1,0.03236891404823238,1,0.03236891404823238
291,100774391,1,1,0.03236891404823238,1,0.03236891404823238
292,100774394,1,1,0.03236891404823238,1,0.03236891404823238
293,100774472,1,1,0.032368914048232375,1,0.032368914048232375
294,100758120,1,1,0.03236891404823238,1,0.03236891404823238
295,100766318,1,1,0.03236891404823237,1,0.03236891404823237
296,100774576,1,1,0.032368914048232375,1,0.032368914048232375
297,100774587,1,1,0.03236891404823238,1,0.03236891404823238
298,100758204,1,1,0.03236891404823238,1,0.03236891404823238
299,100758269,1,1,0.032368914048232375,1,0.032368914048232375
300,100774679,1,1,0.032368914048232375,1,0.032368914048232375
301,100758369,1,1,0.032368914048232375,1,0.032368914048232375
302,100774762,1,1,0.032368914048232375,1,0.032368914048232375
303,100758392,1,1,0.03236891404823238,1,0.03236891404823238
304,100758439,1,1,0.032368914048232375,1,0.032368914048232375
305,100774830,1,1,0.03236891404823238,1,0.03236891404823238
306,100774834,1,1,0.03236891404823238,1,0.03236891404823238
307,100774848,1,1,0.03236891404823238,1,0.03236891404823238
308,100766683,1,1,0.03236891404823238,1,0.03236891404823238
309,100766725,1,1,0.03236891404823238,1,0.03236891404823238
310,100774930,1,1,0.032368914048232375,1,0.032368914048232375
311,100750356,1,1,0.032368914048232375,1,0.032368914048232375
312,100750358,1,1,0.03236891404823239,1,0.03236891404823239
313,100774953,1,1,0.03236891404823238,1,0.03236891404823238
314,100750391,1,1,0.03236891404823238,1,0.03236891404823238
315,100766778,1,0,0.0,1,0.0
316,100750430,1,1,0.032368914048232375,1,0.032368914048232375
317,100775003,1,1,0.032368914048232375,1,0.032368914048232375
318,100766858,1,1,0.03236891404823238,1,0.03236891404823238
319,100775078,1,1,0.03236891404823238,1,0.03236891404823238
320,100750530,1,1,0.032368914048232375,1,0.032368914048232375
321,100758725,1,1,0.027391526129873084,1,0.027391526129873084
322,100750542,1,1,0.03236891404823238,1,0.03236891404823238
323,103159001,1,1,0.03236891404823238,1,0.03236891404823238
324,100766960,1,1,0.03236891404823238,1,0.03236891404823238
325,100750577,1,1,0.03236891404823238,1,0.03236891404823238
326,103159036,1,1,0.03236891404823238,1,0.03236891404823238
327,100758803,1,1,0.03236891404823238,1,0.03236891404823238
328,100750633,1,1,0.03236891404823238,1,0.03236891404823238
329,100750672,1,1,0.03236891404823239,1,0.03236891404823239
330,100767060,1,1,0.03236891404823238,1,0.03236891404823238
331,100750701,1,1,0.03236891404823238,1,0.03236891404823238
332,100767088,1,1,0.032368914048232375,1,0.032368914048232375
333,100767102,1,1,0.032368914048232375,1,0.032368914048232375
334,100758921,1,1,0.03236891404823238,1,0.03236891404823238
335,100767149,1,1,0.03236891404823238,1,0.03236891404823238
336,100758980,1,1,0.03236891404823238,1,0.03236891404823238
337,100767281,1,1,0.03236891404823242,1,0.03236891404823242
338,100750926,1,1,0.03236891404823239,1,0.03236891404823239
339,100759157,1,1,0.032368914048232375,1,0.032368914048232375
340,100767367,1,1,0.03236891404823238,1,0.03236891404823238
341,100767384,1,1,0.032368914048232375,1,0.032368914048232375
342,100759230,1,1,0.03236891404823238,1,0.03236891404823238
343,100759241,1,1,0.03236891404823238,1,0.03236891404823238
344,103159499,1,1,0.032368914048232375,1,0.032368914048232375
345,100759273,1,1,0.03236891404823238,1,0.03236891404823238
346,100751227,1,1,0.03236891404823238,1,0.03236891404823238
347,100767620,1,1,0.03236891404823238,1,0.03236891404823238
348,100767644,1,1,0.03236891404823238,1,0.03236891404823238
349,100751269,1,1,0.032368914048232375,1,0.032368914048232375
350,3979178,1,1,0.03236891404823238,1,0.03236891404823238
351,3979180,1,1,0.03236891404823238,1,0.03236891404823238
352,3979181,1,1,0.03236891404823238,1,0.03236891404823238
353,3979183,1,1,0.03236891404823238,1,0.03236891404823238
354,3979189,1,1,0.027391526129873094,1,0.027391526129873094
355,100751278,1,1,0.032368914048232375,1,0.032368914048232375
356,3979186,1,1,0.027391526129873067,1,0.027391526129873067
357,100759490,1,0,0.0,1,0.0
358,100751299,1,1,0.03236891404823238,1,0.03236891404823238
359,100759507,1,1,0.03236891404823239,1,0.03236891404823239
360,100751325,1,1,0.03236891404823238,1,0.03236891404823238
361,100767722,1,1,0.03236891404823244,1,0.03236891404823244
362,100767729,1,1,0.03236891404823238,1,0.03236891404823238
363,100767739,1,1,0.03236891404823238,1,0.03236891404823238
364,100759604,1,1,0.03236891404823238,1,0.03236891404823238
365,100759611,1,1,0.032368914048232375,1,0.032368914048232375
366,100767825,1,1,0.03236891404823238,1,0.03236891404823238
367,103159932,1,1,0.03236891404823238,1,0.03236891404823238
368,100751509,1,1,0.032368914048232375,1,0.032368914048232375
369,100767919,1,1,0.03236891404823238,1,0.03236891404823238
370,100759779,1,1,0.032368914048232375,1,0.032368914048232375
371,100759780,1,1,0.03236891404823238,1,0.03236891404823238
372,100759799,1,1,0.03236891404823238,1,0.03236891404823238
373,100759832,1,0,-2.8376791558537715e-17,1,-2.8376791558537715e-17
374,100751670,1,1,0.03236891404823238,1,0.03236891404823238
375,100751671,1,0,0.0,1,0.0
376,100759874,1,1,0.03236891404823238,1,0.03236891404823238
377,107977047,1,1,0.03236891404823238,1,0.03236891404823238
378,100751727,1,1,0.03236891404823238,1,0.03236891404823238
379,100759944,1,1,0.032368914048232375,1,0.032368914048232375
380,100759947,1,0,-1.2518266515837527e-17,1,-1.2518266515837527e-17
381,100768154,1,1,0.03236891404823238,1,0.03236891404823238
382,100751774,1,1,0.03236891404823238,1,0.03236891404823238
383,100759968,1,1,0.03236891404823238,1,0.03236891404823238
384,107977136,1,1,0.03236891404823238,1,0.03236891404823238
385,100751798,1,1,0.03236891404823238,1,0.03236891404823238
386,100751803,1,1,0.032368914048232375,1,0.032368914048232375
387,100768227,1,1,0.03236891404823279,1,0.03236891404823279
388,100760081,1,1,0.03236891404823238,1,0.03236891404823238
389,100751905,1,1,0.032368914048232375,1,0.032368914048232375
390,100768313,1,1,0.03236891404823238,1,0.03236891404823238
391,103160380,1,1,0.03236891404823358,1,0.03236891404823358
392,100760145,1,1,0.03236891404823238,1,0.03236891404823238
393,100752009,1,1,0.03236891404823237,1,0.03236891404823237
394,100768413,1,1,0.03236891404823238,1,0.03236891404823238
395,100760222,1,1,0.032368914048232375,1,0.032368914048232375
396,100760225,1,1,0.032368914048232375,1,0.032368914048232375
397,100768444,1,1,0.03236891404823238,1,0.03236891404823238
398,100752066,1,1,0.032368914048232375,1,0.032368914048232375
399,100760260,1,1,0.03236891404823238,1,0.03236891404823238
400,100768457,1,1,0.027391526129873084,1,0.027391526129873084
401,100760280,1,1,0.03236891404823239,1,0.03236891404823239
402,100760306,1,1,0.03236891404823238,1,0.03236891404823238
