,Unnamed: 0,model,number_of_genes,number_of_reactions,nullity,id
89,0,322_B/Seed335543.6.796.xml,931,1364,234,Seed33554
90,0,322_B/Seed194439.1.796.xml,586,1250,217,Seed194439
91,0,322_B/Seed383629.4.796.xml,932,1620,347,Seed383629
92,0,322_B/Seed447214.4.796.xml,946,1644,371,Seed447214
93,0,322_B/Seed351016.3.796.xml,902,1501,304,Seed351016
94,0,322_B/Seed391613.3.796.xml,941,1538,322,Seed39161
95,0,322_B/Seed640511.6.796.xml,1423,1999,458,Seed640511
96,0,322_B/Seed604162.3.796.xml,582,1258,263,Seed60416
97,0,322_B/Seed279714.3.796.xml,1041,1625,372,Seed279714
98,0,322_B/Seed575584.3.796.xml,901,1685,376,Seed575584
99,0,322_B/Seed525368.3.796.xml,1009,1529,344,Seed525368
100,0,322_B/Seed314282.3.796.xml,675,1479,313,Seed31428
101,0,322_B/Seed626418.3.796.xml,1206,1972,412,Seed626418
102,0,322_B/Seed634457.3.796.xml,712,1459,302,Seed634457
103,0,322_B/Seed314225.3.796.xml,622,1249,238,Seed314225
104,0,322_B/Seed354.1.796.xml,1016,1698,384,Seed354
105,0,322_B/Seed320372.3.796.xml,1193,1800,414,Seed32037
106,0,322_B/Seed391591.24.796.xml,1180,1932,453,Seed391591
107,0,322_B/Seed525371.3.796.xml,976,1530,294,Seed525371
108,0,322_B/Seed350054.11.796.xml,1058,1630,373,Seed350054
109,0,322_B/Seed693971.4.796.xml,849,1684,393,Seed693971
110,0,322_B/Seed228399.1.796.xml,643,1375,302,Seed228399
111,0,322_B/Seed1496.1.796.xml,803,1416,259,Seed1496
112,0,322_B/Seed318161.16.796.xml,762,1613,359,Seed318161
113,0,322_B/Seed537972.5.796.xml,519,1171,224,Seed53797
114,0,322_B/Seed122587.1.796.xml,555,1222,239,Seed122587
115,0,322_B/Seed439497.5.796.xml,902,1548,327,Seed439497
116,0,322_B/Seed398527.4.796.xml,1497,1997,475,Seed398527
117,0,322_B/Seed693982.3.796.xml,1461,1849,435,Seed69398
